City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Rudbar,AF,2022-02-23 17:43:43,30.15,62.6,62.1,32,4,4.43
187,Manadhoo,MV,2022-02-23 17:43:43,5.7667,73.3833,82.81,70,32,11.5
188,Kupang,ID,2022-02-23 17:43:44,-10.1667,123.5833,73.85,90,100,2.55
189,Half Moon Bay,US,2022-02-23 17:43:44,37.4636,-122.4286,49.82,46,0,4.0
190,Hearst,CA,2022-02-23 17:43:45,49.6835,-83.6665,0.39,77,92,9.78
191,Kiunga,PG,2022-02-23 17:43:45,-6.1219,141.2906,72.18,99,100,2.46
192,San Quintin,MX,2022-02-23 17:43:46,30.4833,-115.95,55.85,67,79,23.09
193,Green River,US,2022-02-23 17:43:46,41.5286,-109.4662,6.19,74,100,14.7
194,Merauke,ID,2022-02-23 17:43:46,-8.4667,140.3333,78.51,84,100,11.77
195,Sao Jose Da Coroa Grande,BR,2022-02-23 17:43:47,-8.8978,-35.1478,84.52,60,9,9.91
196,Aksarka,RU,2022-02-23 17:43:47,66.5606,67.7975,0.61,99,100,3.62
197,Jiaxing,CN,2022-02-23 17:41:37,30.7522,120.75,39.22,75,1,2.66
198,Tasiilaq,GL,2022-02-23 17:43:48,65.6145,-37.6368,28.56,91,100,3.11
199,Katsuura,JP,2022-02-23 17:43:48,35.1333,140.3,39.31,68,97,13.02
200,Dinghai,CN,2022-02-23 17:43:49,26.2847,119.7936,43.72,72,97,20.89
201,Opole,PL,2022-02-23 17:40:06,50.5,18.0,42.4,72,10,10.0
202,Nova Floresta,BR,2022-02-23 17:43:50,-6.4553,-36.2033,81.16,49,52,14.5
203,Moranbah,AU,2022-02-23 17:43:50,-22.0016,148.0466,74.93,82,2,6.8
204,Bethanien,NA,2022-02-23 17:43:51,-26.502,17.1583,87.57,12,0,11.7
205,Gobabis,NA,2022-02-23 17:43:51,-22.45,18.9667,84.96,23,86,4.43
206,San Cristobal,VE,2022-02-23 17:43:52,7.7669,-72.225,69.98,48,84,0.31
207,Ornskoldsvik,SE,2022-02-23 17:43:52,63.2909,18.7153,27.55,100,100,12.66
208,Isangel,VU,2022-02-23 17:43:53,-19.55,169.2667,78.31,86,67,5.5
209,Kardymovo,RU,2022-02-23 17:43:53,54.8902,32.4311,22.64,93,100,2.13
210,Cidreira,BR,2022-02-23 17:43:54,-30.1811,-50.2056,79.56,60,0,13.4
211,Nivala,FI,2022-02-23 17:43:54,63.9167,24.9667,18.27,90,96,8.61
212,Ostrovnoy,RU,2022-02-23 17:43:55,68.0531,39.5131,5.81,95,77,10.31
213,Lewistown,US,2022-02-23 17:43:55,40.5992,-77.5714,51.19,71,20,12.66
214,Vanavara,RU,2022-02-23 17:43:56,60.34,102.2797,17.6,97,100,1.88
215,Kamaishi,JP,2022-02-23 17:41:47,39.2667,141.8833,28.87,66,30,7.2
216,Qui Nhon,VN,2022-02-23 17:43:57,13.7667,109.2333,68.54,79,100,19.89
217,Atbasar,KZ,2022-02-23 17:43:57,51.8,68.3333,15.39,97,81,7.52
218,Kahului,US,2022-02-23 17:43:58,20.8947,-156.47,73.42,69,20,12.66
219,Chivay,PE,2022-02-23 17:43:58,-15.6383,-71.6011,60.6,49,76,2.46
220,Lakes Entrance,AU,2022-02-23 17:43:59,-37.8811,147.981,64.17,91,11,3.87
221,Tuatapere,NZ,2022-02-23 17:44:00,-46.1333,167.6833,46.81,88,15,4.03
222,Neuquen,AR,2022-02-23 17:43:17,-38.9516,-68.0591,58.89,100,75,0.0
223,Luwuk,ID,2022-02-23 17:44:01,-0.9516,122.7875,77.65,81,100,5.3
224,La Ronge,CA,2022-02-23 17:44:01,55.1001,-105.2842,-12.78,77,0,5.75
225,Barcelos,PT,2022-02-23 17:44:02,41.5388,-8.6151,60.94,67,100,3.83
226,Kabo,CF,2022-02-23 17:44:02,7.6994,18.629,83.53,13,39,5.12
227,Hamilton,US,2022-02-23 17:41:01,39.1834,-84.5333,30.83,83,100,12.66
228,Teignmouth,GB,2022-02-23 17:44:03,50.5477,-3.4964,50.63,73,100,8.01
229,Daru,PG,2022-02-23 17:44:03,-9.0763,143.2092,76.05,89,100,13.06
230,Doaba,PK,2022-02-23 17:44:04,33.4244,70.7364,50.38,79,70,2.55
231,Palmer,US,2022-02-23 17:42:46,42.1584,-72.3287,67.37,61,75,14.97
232,Sangar,RU,2022-02-23 17:44:05,63.9242,127.4739,-7.42,97,100,6.49
233,Garden City,US,2022-02-23 17:42:18,42.3256,-83.331,28.65,62,100,17.27
234,Airai,TL,2022-02-23 17:44:05,-8.9266,125.4092,58.77,98,100,3.24
235,Namibe,AO,2022-02-23 17:44:06,-15.1961,12.1522,76.84,79,95,8.99
236,Mogadishu,SO,2022-02-23 17:44:07,2.0371,45.3438,78.93,84,51,24.18
237,Husavik,IS,2022-02-23 17:44:07,66.0449,-17.3389,31.91,98,100,19.71
