City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Bojnurd,IR,46.35,broken clouds,37.4747,57.329,Hotel negin
288,Salvador,SV,86.4,overcast clouds,13.8333,-88.9167,Chico's Ranch
289,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
291,Sinnamary,GF,74.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
292,Qui Nhon,VN,73.89,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
293,Shaoxing,CN,48.15,broken clouds,30.011,120.5715,Holiday Inn Shaoxing
294,Lages,BR,75.99,scattered clouds,-27.8161,-50.3261,Hotel Le CanarD Lages
295,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
296,Kadoma,JP,44.58,few clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
297,Puerto Colombia,CO,87.89,broken clouds,10.9878,-74.9547,Hotel El Emigrante
298,Gore,NZ,63.23,overcast clouds,-46.1028,168.9436,Esplanade Motels
300,Nyakabindi,TZ,71.96,light rain,-2.6333,33.9833,
301,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
305,Tecoanapa,MX,83.61,scattered clouds,16.5167,-98.75,Hotel Manglares
306,Saint-Georges,GD,85.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
308,Mana,GF,74.57,overcast clouds,5.6592,-53.7767,LE SAMANA
310,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
312,Itaperucu,BR,85.41,few clouds,-25.22,-49.3478,DR Hotel Rio Branco do Sul
313,Pacific Grove,US,50.76,overcast clouds,36.6177,-121.9166,Lovers Point Inn
314,Morondava,MG,83.43,broken clouds,-20.2833,44.2833,La Case Bambou
317,Asyut,EG,77.18,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
318,Jaciara,BR,82.72,few clouds,-15.9653,-54.9683,Taba Hotel
319,Khash,IR,58.28,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
320,Bubaque,GW,76.28,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
321,Madisonville,US,71.94,scattered clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
322,Paris,FR,51.98,few clouds,48.8534,2.3488,Hôtel Britannique - Paris Centre
323,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
326,Biltine,TD,91.58,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
330,Umm Lajj,SA,72.66,broken clouds,25.0213,37.2685,Moon light Furnished Units
331,Ialibu,PG,57.42,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
334,Dhidhdhoo,MV,81.59,clear sky,6.8833,73.1,Dhidhoo beach
335,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Novotel Dakar
336,New Cumnock,GB,46.13,broken clouds,55.3956,-4.1846,"Lochside House Hotel, Lodges and Spa"
337,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
339,Rivadavia,AR,75.67,scattered clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
343,Constitucion,CL,67.93,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
344,Luganville,VU,77.68,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
346,Inongo,CD,80.24,few clouds,-1.95,18.2667,Hotel Du Lac
347,Aripuana,BR,77.31,overcast clouds,-9.1667,-60.6333,
348,San Carlos De Bariloche,AR,55.15,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
349,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
